"","AvgSalary","City","Company","Designation","lat","lng","Max.Salary","Min.Salary","Source","State","Title"
"213",NA,"Mountain View","Astreya Partners","Data Analyst",37.4001,-122.0796,NA,NA,"Glassdoor","CA",""
"214",82,"San Francisco","eSpark","Data Analyst",37.7561,-122.4429,96,68,"Glassdoor","CA",""
"215",70,"Phoenix","IBM","Data Analyst",33.5722,-112.0891,84,56,"Glassdoor","AZ",""
"216",NA,"New York","TSR","Data Analyst",40.6943,-73.9249,NA,NA,"Glassdoor","NY",""
"217",74,"Florham Park","Asembia","Data Analyst",40.7772,-74.3953,87,61,"Glassdoor","NJ",""
"218",NA,"Boston","FullFunnel","Data Analyst",42.3189,-71.0838,NA,NA,"Glassdoor","MA",""
"219",63.5,"Austin","FirstCare Health Plans","Data Analyst",30.3038,-97.7545,77,50,"Glassdoor","TX",""
"220",NA,"Washington","TeamGOV, INC.","Data Analyst",38.9047,-77.0163,NA,NA,"Glassdoor","DC",""
"221",43,"Portland","Standard Insurance Company","Data Analyst",45.5372,-122.65,52,34,"Glassdoor","OR",""
"222",74.5,"Atlanta","First Advantage Corporation","Data Analyst",33.7627,-84.4231,85,64,"Glassdoor","GA",""
"223",NA,"Beaverton","VanderHouwen","Data Analyst",45.4779,-122.8168,NA,NA,"Glassdoor","OR",""
"224",NA,"Miami","Kforce","Data Analyst",25.784,-80.2102,NA,NA,"Glassdoor","FL",""
"225",62.5,"Wilmington","CSC","Data Analyst",39.7349,-75.5286,78,47,"Glassdoor","DE",""
"226",NA,"Vancouver","Flux Resources","Data Analyst",45.6352,-122.5972,NA,NA,"Glassdoor","WA",""
"227",66.5,"Richmond","EAB","Data Analyst",37.5294,-77.4755,81,52,"Glassdoor","VA",""
"228",NA,"Smithfield","Smithfield","Data Analyst",36.9753,-76.6162,NA,NA,"Glassdoor","VA",""
"229",NA,"Seattle","Remitly","Data Analyst",47.6217,-122.3238,NA,NA,"Glassdoor","WA",""
"230",93,"Norwalk","Crius Energy","Data Analyst",41.1144,-73.4215,115,71,"Glassdoor","CT",""
"231",48.5,"Louisville","Computershare","Data Analyst",38.1662,-85.6488,58,39,"Glassdoor","KY",""
"232",NA,"Sayre","Guthrie Healthcare","Data Analyst",41.9855,-76.5207,NA,NA,"Glassdoor","PA",""
"233",NA,"Monroe","Union County, North Carolina","Data Analyst",35.0062,-80.5593,NA,NA,"Glassdoor","NC",""
"234",71,"Salem","RADGOV","Data Analyst",44.9231,-123.0245,81,61,"Glassdoor","OR",""
"235",NA,"San Francisco","Faire","Data Analyst",37.7561,-122.4429,NA,NA,"Glassdoor","CA",""
"236",61,"Southfield","Credit Acceptance Corporation","Data Analyst",42.4765,-83.2605,76,46,"Glassdoor","MI",""
"237",62,"Minneapolis","Fairview Health Services","Data Analyst",44.9635,-93.2679,71,53,"Glassdoor","MN",""
"238",71.5,"Arlington","Politico","Data Analyst",38.8786,-77.1011,82,61,"Glassdoor","VA",""
"239",NA,"Los Angeles","Cameo","Data Analyst",34.114,-118.4068,NA,NA,"Glassdoor","CA",""
"240",NA,"Palo Alto","Sansa Technology LLC","Data Analyst",37.3917,-122.1465,NA,NA,"Glassdoor","CA",""
"241",87,"Redwood City","Mixbook","Data Analyst",37.5026,-122.2251,101,73,"Glassdoor","CA",""
"242",NA,"Monsey","EPI","Data Analyst",41.1183,-74.068,NA,NA,"Glassdoor","NY",""
"243",77.5,"Phoenix","SunSoft Online","Data Analyst",33.5722,-112.0891,89,66,"Glassdoor","AZ",""
"244",90.5,"Downers Grove","HAVI","Data Analyst",41.7947,-88.017,102,79,"Glassdoor","IL",""
"245",NA,"Newark","Insurance Company","Data Analyst",40.7242,-74.1724,NA,NA,"Glassdoor","NJ",""
