City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
60,hermanus,0,ZA,1536570335,46,-34.42,19.24,65.56,3.15
61,castro,88,CL,1536570335,97,-42.48,-73.76,37.21,2.48
62,asyut,0,EG,1536566400,54,27.18,31.19,84.2,11.41
63,hithadhoo,68,MV,1536570336,100,-0.6,73.08,83.83,9.98
64,barra de sao francisco,0,BR,1536570336,89,-18.75,-40.89,53.14,1.92
65,yulara,0,AU,1536566400,7,-25.24,130.99,84.2,2.24
66,busselton,8,AU,1536570135,100,-33.64,115.35,58.72,24.85
67,port alfred,0,ZA,1536570337,99,-33.59,26.89,62.41,5.39
68,quatre cocos,40,MU,1536566400,47,-20.21,57.76,78.8,18.34
69,mount gambier,0,AU,1536570338,71,-37.83,140.78,60.52,5.17
70,tobolsk,48,RU,1536570338,72,58.2,68.25,45.85,11.54
71,dikson,64,RU,1536570338,100,73.51,80.55,35.59,10.09
72,payakumbuh,44,ID,1536570339,71,-0.23,100.63,82.48,3.15
73,sibu,75,MY,1536566400,59,2.29,111.83,89.6,5.82
74,hami,0,CN,1536570339,22,42.84,93.51,80.41,11.65
75,umm kaddadah,0,SD,1536570340,51,13.6,26.69,90.31,5.95
76,levelland,75,US,1536565980,87,33.59,-102.38,66.02,8.05
77,thompson,90,CA,1536566400,93,55.74,-97.86,42.8,16.11
78,dhidhdhoo,0,MV,1536570341,100,6.88,73.1,84.1,7.18
79,waipawa,0,NZ,1536570341,83,-39.94,176.59,37.48,5.17
80,norman wells,90,CA,1536566400,65,65.28,-126.83,46.4,13.87
81,samarai,92,PG,1536570342,99,-10.62,150.67,77.98,21.94
82,hobyo,0,SO,1536570342,68,5.35,48.53,84.37,17.58
83,palmer,0,AU,1536568200,42,-34.85,139.16,68.0,9.17
84,mahebourg,40,MU,1536566400,47,-20.41,57.7,78.8,18.34
85,bonavista,0,CA,1536570344,100,48.65,-53.11,47.47,10.76
86,saint-augustin,20,FR,1536568200,88,44.83,-0.61,68.0,5.82
87,loandjili,40,CG,1536566400,83,-4.77,11.87,77.0,5.82
88,islahiye,40,TR,1536565800,50,37.03,36.63,77.0,2.24
89,tiksi,92,RU,1536570346,100,71.64,128.87,36.13,20.38
